Plante,Position,NPA,Jour,angle
Plante 1,Courbe,Avec,0,"168,5"
Plante 2,Courbe,Avec,0,"173,3"
Plante 3,Courbe,Avec,0,"177,8"
Plante 4,Courbe,Avec,0,"170,0"
Plante 5,Courbe,Avec,0,"175,2"
Plante 6,Courbe,Avec,0,"177,8"
Plante 7,Courbe,Avec,0,"180,0"
Plante 8,Courbe,Avec,0,"179,8"
Plante 9,Courbe,Avec,0,"177,9"
Plante 10,Courbe,Avec,0,"170,3"
Plante 11,Debout,Avec,0,"163,2"
Plante 12,Debout,Avec,0,"173,3"
Plante 13,Debout,Avec,0,"159,4"
Plante 14,Debout,Avec,0,"164,1"
Plante 15,Debout,Avec,0,"167,2"
Plante 16,Debout,Avec,0,"169,4"
Plante 17,Debout,Avec,0,"168,2"
Plante 18,Debout,Avec,0,"168,7"
Plante 19,Debout,Avec,0,"164,4"
Plante 20,Debout,Avec,0,"173,1"
Plante 21,Courbe,Sans,0,"163,4"
Plante 22,Courbe,Sans,0,"176,0"
Plante 23,Courbe,Sans,0,"178,5"
Plante 24,Courbe,Sans,0,"173,7"
Plante 25,Courbe,Sans,0,"175,2"
Plante 26,Courbe,Sans,0,"171,5"
Plante 27,Courbe,Sans,0,"171,5"
Plante 28,Courbe,Sans,0,"177,2"
Plante 29,Courbe,Sans,0,"165,3"
Plante 30,Courbe,Sans,0,"175,7"
Plante 31,Debout,Sans,0,"174,9"
Plante 32,Debout,Sans,0,"162,4"
Plante 33,Debout,Sans,0,"164,8"
Plante 34,Debout,Sans,0,"164,2"
Plante 35,Debout,Sans,0,"168,1"
Plante 36,Debout,Sans,0,"176,3"
Plante 37,Debout,Sans,0,"164,7"
Plante 38,Debout,Sans,0,"169,6"
Plante 39,Debout,Sans,0,"179,8"
Plante 40,Debout,Sans,0,"169,2"
Plante 1,Courbe,Avec,1,"155,1"
Plante 2,Courbe,Avec,1,"147,1"
Plante 3,Courbe,Avec,1,"177,1"
Plante 4,Courbe,Avec,1,"171,4"
Plante 5,Courbe,Avec,1,"177,0"
Plante 6,Courbe,Avec,1,"178,8"
Plante 7,Courbe,Avec,1,"162,4"
Plante 8,Courbe,Avec,1,"162,0"
Plante 9,Courbe,Avec,1,"156,7"
Plante 10,Courbe,Avec,1,"161,2"
Plante 11,Debout,Avec,1,"158,8"
Plante 12,Debout,Avec,1,"157,2"
Plante 13,Debout,Avec,1,"166,7"
Plante 14,Debout,Avec,1,"165,7"
Plante 15,Debout,Avec,1,"174,0"
Plante 16,Debout,Avec,1,"172,9"
Plante 17,Debout,Avec,1,"169,3"
Plante 18,Debout,Avec,1,"161,5"
Plante 19,Debout,Avec,1,"172,4"
Plante 20,Debout,Avec,1,"171,2"
Plante 21,Courbe,Sans,1,"175,9"
Plante 22,Courbe,Sans,1,"120,7"
Plante 23,Courbe,Sans,1,"137,3"
Plante 24,Courbe,Sans,1,"95,0"
Plante 25,Courbe,Sans,1,"149,2"
Plante 26,Courbe,Sans,1,"114,7"
Plante 27,Courbe,Sans,1,"133,9"
Plante 28,Courbe,Sans,1,"152,1"
Plante 29,Courbe,Sans,1,"154,2"
Plante 30,Courbe,Sans,1,"144,0"
Plante 31,Debout,Sans,1,"152,0"
Plante 32,Debout,Sans,1,"173,4"
Plante 33,Debout,Sans,1,"174,7"
Plante 34,Debout,Sans,1,"168,1"
Plante 35,Debout,Sans,1,"144,5"
Plante 36,Debout,Sans,1,"158,8"
Plante 37,Debout,Sans,1,"167,5"
Plante 38,Debout,Sans,1,"168,4"
Plante 39,Debout,Sans,1,"169,8"
Plante 40,Debout,Sans,1,"173,4"
