plante,lumière,longueur,jour
1,blanche,1.8147842,0
2,blanche,2.750699,0
3,blanche,1.8972921,0
4,blanche,2.5001805,0
5,blanche,2.508654,0
6,blanche,2.0590281,0
7,blanche,1.4088564,0
8,blanche,1.8507572,0
1,bleue,2.29437,0
2,bleue,2.3252168,0
3,bleue,2.4747508,0
4,bleue,1.7578536,0
5,bleue,1.4747744,0
6,bleue,2.3568184,0
7,bleue,2.924616,0
8,bleue,2.4493213,0
1,rouge,1.6168146,0
2,rouge,2.469836,0
3,rouge,2.3852108,0
4,rouge,2.504807,0
5,rouge,2.664873,0
6,rouge,2.555617,0
7,rouge,3.2050812,0
8,rouge,2.5862677,0
1,obscurite,1.9998833,0
2,obscurite,2.8477826,0
3,obscurite,2.376204,0
4,obscurite,2.2068362,0
5,obscurite,2.5681872,0
6,obscurite,2.7995014,0
7,obscurite,1.6280293,0
8,obscurite,2.3155951,0
1,rouge_loin,2.4953587,0
2,rouge_loin,2.8171496,0
3,rouge_loin,2.5777197,0
4,rouge_loin,2.7429135,0
5,rouge_loin,2.303561,0
6,rouge_loin,2.0541885,0
7,rouge_loin,2.680532,0
1,blanche,2.0774803,1
2,blanche,2.9815316,1
3,blanche,2.3131742,1
4,blanche,2.6560054,1
5,blanche,2.7669919,1
6,blanche,2.1714787,1
7,blanche,1.8306282,1
8,blanche,2.0432556,1
1,bleue,2.4210455,1
2,bleue,2.7396443,1
3,bleue,2.816003,1
4,bleue,2.2124019,1
5,bleue,2.0480232,1
6,bleue,3.1029747,1
7,bleue,3.3457842,1
8,bleue,2.839427,1
1,rouge,1.9441794,1
2,rouge,2.612185,1
3,rouge,2.5257373,1
4,rouge,2.7323992,1
5,rouge,2.8715756,1
6,rouge,2.5861006,1
7,rouge,3.1141832,1
8,rouge,3.0965562,1
1,obscurite,2.6670165,1
2,obscurite,3.301325,1
3,obscurite,3.038593,1
4,obscurite,2.7961807,1
5,obscurite,3.0965948,1
6,obscurite,3.084162,1
7,obscurite,2.3672788,1
8,obscurite,3.1145403,1
1,rouge_loin,2.661107,1
2,rouge_loin,2.9327877,1
3,rouge_loin,2.7831347,1
4,rouge_loin,2.8996637,1
5,rouge_loin,2.6012957,1
6,rouge_loin,2.4436002,1
7,rouge_loin,2.9419327,1
